rank,segment_id,country,road_class,SpeedLimit,F85thPercentileSpeed,expected_speed,speed_residual
10828,54777,Thailand,secondary,80.0,72.66666667,81.16422312199151,-8.497556451991514
10829,SE/8229,India,secondary,45.0,47.5,56.003956481004515,-8.503956481004515
10830,48728,Thailand,secondary,90.0,66.0,74.50422650882643,-8.504226508826434
10831,42781,Thailand,secondary,80.0,64.0,72.50558697768909,-8.505586977689092
10832,34062,Thailand,primary,50.0,66.0,74.52922604993162,-8.529226049931623
10833,TR/11717,India,trunk,55.0,66.0,74.53029674895961,-8.530296748959614
10834,PR/1328,India,primary,55.0,53.75,62.28326816076827,-8.533268160768273
10835,16084,Thailand,trunk,80.0,80.0,88.53525652487889,-8.53525652487889
10836,6410,Thailand,trunk,90.0,89.0,97.53571037251132,-8.535710372511318
10837,24240,Thailand,primary,80.0,73.0,81.54014393206926,-8.540143932069256
10838,SE/9974,India,secondary,55.0,42.833333333333336,51.38299271432623,-8.549659380992892
10839,SE/9264,India,secondary,45.0,43.75,52.30472127529145,-8.554721275291449
10840,16688,Thailand,trunk,90.0,76.5,85.0582599824618,-8.558259982461806
10841,39760,Thailand,secondary,90.0,70.0,78.56602075021105,-8.566020750211052
10842,17008,Thailand,secondary,80.0,58.0,66.56609516188523,-8.56609516188523
10843,16239,Thailand,trunk,80.0,80.0,88.57700213955057,-8.577002139550572
10844,34635,Thailand,secondary,80.0,42.0,50.58283110261801,-8.582831102618009
10845,PR/4096,India,primary,45.0,32.75,41.33411351939647,-8.584113519396467
10846,36747,Thailand,primary,90.0,78.5,87.09146805480043,-8.59146805480043
10847,TR/11661,India,trunk,55.0,74.0,82.59173639510955,-8.59173639510955
10848,34103,Thailand,primary,40.0,70.0,78.59598809835123,-8.595988098351228
10849,TR/12409,India,trunk,55.0,65.25,73.84784456685082,-8.597844566850824
10850,39046,Thailand,secondary,80.0,69.0,77.59842802051938,-8.598428020519378
10851,31559,Thailand,secondary,80.0,64.0,72.60665512968887,-8.606655129688875
10852,46302,Thailand,secondary,90.0,50.0,58.6077396924665,-8.607739692466502
10853,TR/13449,India,trunk,40.0,73.16666666666667,81.77494707125439,-8.608280404587717
10854,PR/1447,India,primary,45.0,34.07692307692308,42.68603232386121,-8.609109246938132
10855,52614,Thailand,secondary,90.0,56.0,64.61757274226004,-8.617572742260037
10856,17134,Thailand,primary,80.0,63.0,71.61811180003764,-8.618111800037639
10857,54871,Thailand,secondary,90.0,76.0,84.62947855866899,-8.629478558668993
10858,TR/11750,India,trunk,55.0,60.5,69.13280543124007,-8.632805431240072
10859,PR/2219,India,primary,30.0,41.25,49.88428910419878,-8.634289104198778
10860,PR/1550,India,primary,45.0,34.75,43.387450260127395,-8.637450260127395
10861,21288,Thailand,primary,80.0,75.0,83.6497411317452,-8.649741131745202
10862,PR/577,India,primary,55.0,44.5,53.156675341070994,-8.656675341070994
10863,15328,Thailand,primary,80.0,67.25,75.92401610294661,-8.67401610294661
10864,TR/12166,India,trunk,50.0,70.0,78.6766301810828,-8.6766301810828
10865,TR/12417,India,trunk,55.0,70.0,78.6766301810828,-8.6766301810828
10866,36072,Thailand,trunk,80.0,86.0,94.68303664615297,-8.68303664615297
10867,SE/4429,India,secondary,55.0,43.0,51.69215398326262,-8.692153983262621
10868,45193,Thailand,secondary,90.0,62.0,70.69383822100683,-8.693838221006828
10869,PR/3854,India,primary,45.0,31.25,39.947408367179605,-8.697408367179605
10870,TR/13352,India,trunk,40.0,59.2,67.89825982460569,-8.698259824605685
10871,TR/12339,India,trunk,55.0,60.0,68.70807862580051,-8.70807862580051
10872,25705,Thailand,primary,80.0,80.0,88.70835099715103,-8.70835099715103
10873,SE/8772,India,secondary,55.0,44.0,52.708979356016634,-8.708979356016634
10874,11967,Thailand,trunk,83.0,79.0,87.71447043663616,-8.714470436636162
10875,45224,Thailand,secondary,80.0,68.5,77.21818582163985,-8.71818582163985
10876,34762,Thailand,primary,70.0,68.83333333,77.55536080146676,-8.72202747146676
10877,PR/4090,India,primary,40.0,39.0,47.73060666680174,-8.73060666680174
10878,41859,Thailand,secondary,80.0,74.0,82.7338620806572,-8.733862080657204
10879,TR/11817,India,trunk,40.0,57.0,65.73398413056827,-8.733984130568274
10880,TR/13254,India,trunk,55.0,57.0,65.73398413056827,-8.733984130568274
10881,TR/13344,India,trunk,30.0,57.0,65.73398413056827,-8.733984130568274
10882,46740,Thailand,secondary,80.0,64.0,72.7396749145391,-8.739674914539094
10883,36868,Thailand,primary,80.0,70.33333333,79.07540029036105,-8.742066960361043
10884,11282,Thailand,trunk,87.0,90.78260869,99.52788754391939,-8.745278853919388
10885,PR/2472,India,primary,55.0,45.0,53.75166916053915,-8.751669160539151
10886,55014,Thailand,secondary,90.0,72.5,81.25512227951054,-8.755122279510545
10887,30316,Thailand,primary,90.0,83.0,91.75587557459693,-8.755875574596928
10888,35297,Thailand,trunk,80.0,84.0,92.75599030997495,-8.755990309974948
10889,TR/11968,India,trunk,55.0,71.66666666666667,80.42305936137188,-8.756392694705212
10890,TR/10924,India,trunk,80.0,68.0,76.75931959940013,-8.75931959940013
10891,TR/10925,India,trunk,80.0,68.0,76.75931959940013,-8.75931959940013
10892,45295,Thailand,secondary,90.0,71.5,80.2595065993873,-8.759506599387294
10893,25459,Thailand,primary,80.0,70.0,78.76177381847471,-8.761773818474708
10894,SE/6283,India,secondary,55.0,45.125,53.88793079882066,-8.762930798820662
